,lang,fontname,fontsize,body,id,type
18,en,ACaslonPro-Regular,PFPIWB,"Unless surprised, a creature can avert its eyes to avoid the saving throw at the start of its turn. If the creature does so, it can't see She until the start of its next turn, when it can avert its eyes again. If the creature looks at",1,stat_block
19,en,ACaslonPro-Regular,PFPIWB,"She in the meantime, it must immediately make the save. She is immune to her own Infatuating Gaze.",1,stat_block
20,en,ACaslonPro-Regular,PFPIWB,"Legendary Resistance (3/Day). If She fails a saving throw, She can choose to succeed instead.",1,stat_block
21,en,ACaslonPro-Regular,PFPIWB,Magic Resistance. Th e daemon has advantage on saving throws against spells and other magical e ff ects.,1,stat_block
22,en,ACaslonPro-Regular,PFPIWB,Magic Weapons. She's weapon attacks are magical.,1,stat_block
23,en,ACaslonPro-Regular,PFPIWB,"Spellcasting. She is a 15th-level spellcaster. Her spellcasting ability is Charisma (spell save DC 24, +16 to hit with spell attacks). She has the following wizard spells prepared:",1,stat_block
24,en,ACaslonPro-Italic,BJKODK,"Cantrips (at will): dancing lights, fi re bolt, mage hand, minor illusion, prestidigitation",1,stat_block
25,en,ACaslonPro-Regular,PFPIWB,"1st level (4 slots): charm person, color spray, magic missile, protection",1,stat_block
26,en,ACaslonPro-Italic,BJKODK,"from evil and good, sleep",1,stat_block
27,en,ACaslonPro-Italic,BJKODK,"2nd level (3 slots): blindness/deafness, hold person, scorching ray,",1,stat_block
28,en,ACaslonPro-Italic,BJKODK,suggestion,1,stat_block
29,en,ACaslonPro-Italic,BJKODK,"3rd level (3 slots): blink, counterspell, dispel magic, fl y",1,stat_block
30,en,ACaslonPro-Italic,BJKODK,"4th level (3 slots): confusion, greater invisibility, phantasmal killer,",1,stat_block
31,en,ACaslonPro-Italic,BJKODK,"polymorph, wall of fi re",1,stat_block
32,en,ACaslonPro-Italic,BJKODK,"5th level (2 slots): dominate person, dream, hold monster",1,stat_block
33,en,ACaslonPro-Italic,BJKODK,"6th level (1 slot): eyebite, mass suggestion",1,stat_block
34,en,ACaslonPro-Regular,PFPIWB,7th level (1 slot): fi nger of death,1,stat_block
35,en,ACaslonPro-Regular,PFPIWB,8th level (1 slot): feeblemind,1,stat_block
36,en,AnotherDanger-SC700,GGHDYV,a c t Ions,1,stat_block
37,en,ACaslonPro-Regular,PFPIWB,Multiattack. She attacks twice with her Beguiling Touch. She can cast a spell or use Charm in place of one of these attacks.,1,stat_block
38,en,ACaslonPro-Regular,PFPIWB,"Beguiling Touch. Melee Weapon Attack: +14 to hit, reach 5 ft., one creature. Hit: 18 (4d8) psychic damage, and the creature must succeed on a DC 24 Charisma saving throw or become charmed for 1 minute. At the end of each of the creature's turns, it can repeat the",1,stat_block
39,en,ACaslonPro-Regular,PFPIWB,saving throw and ends the e ff ect on itself on a success. A creature that saves against this e ff ect becomes immune to the charmed portion of this attack for 24 hours.,1,stat_block
40,en,ACaslonPro-Regular,PFPIWB,"Charm. She targets one humanoid She can see within 60 feet of her. If the target can see She, the target must succeed on a DC 24",1,stat_block
41,en,ACaslonPro-Regular,PFPIWB,Wisdom saving throw against this magic or become charmed by,1,stat_block
42,en,ACaslonPro-Regular,PFPIWB,"She. Th e charmed target regards She as a trusted friend to be heeded and protected. Although the target isn't under She's control, it takes",1,stat_block
43,en,ACaslonPro-Regular,PFPIWB,She's requests or actions in the most favorable way it can.,1,stat_block
44,en,ACaslonPro-Regular,PFPIWB,"Worship Me. Each creature of She's choice that is within 120 feet of She and can see her must succeed on a DC 24 Charisma saving throw or fall prone and become charmed for 1 minute. While charmed in this way, the target is also incapacitated. A creature can repeat the saving throw at the end of each of its turns, ending the e ff ect on itself on a success. If a creature's saving throw is successful or the e ff ect ends for it, the creature is immune to She's Worship Me for the next 24 hours.",1,stat_block
45,en,AnotherDanger-SC700,GGHDYV,l e g e n d a ry a c t Ions,1,stat_block
46,en,ACaslonPro-BoldItalic,LODTLM,"She can take 3 legendary actions, choosing from the options listed.",1,stat_block
47,en,ACaslonPro-Regular,PFPIWB,"Only one legendary action option can be used at a time, and it can only be used at the end of another creature's turn. She regains spent legendary actions at the start of her turn.",1,stat_block
48,en,ACaslonPro-Regular,PFPIWB,Cantrip. She casts a cantrip.,1,stat_block
49,en,ACaslonPro-Regular,PFPIWB,Teleport. She magically teleports to an unoccupied space She can see within 120 feet of her.,1,stat_block
50,en,ACaslonPro-Regular,PFPIWB,Serve Me (Costs 2 Actions). She causes one creature charmed by her to move up to its speed in a direction She chooses and then make an attack with a weapon against a target she chooses. Th e creature makes the attack roll with advantage.,1,stat_block
